number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
0.0,0.16201117318435757,0.7049689440993788,1.0,388
0.0,0.1564245810055866,1.0,1.0,699
0.0,0.00558659217877095,0.018633540372670804,0.0,590
0.015748031496062992,0.011173184357541898,0.13664596273291924,1.0,737
0.4645669291338583,0.16201117318435757,0.018633540372670804,1.0,2000
0.06299212598425197,0.16201117318435757,0.018633540372670804,1.0,3000
0.0,0.027932960893854747,0.0,0.0,2000
0.023622047244094488,0.00558659217877095,1.0,1.0,432
0.0,0.0,0.02173913043478261,1.0,3518
0.0,0.0,0.015527950310559004,0.0,500
0.0,0.16201117318435757,0.08074534161490682,1.0,499
0.023622047244094488,0.0,0.0,0.0,999
0.05511811023622047,0.011173184357541898,0.07142857142857142,0.0,599
0.15748031496062992,0.00558659217877095,0.0031055900621118036,1.0,500
0.0,0.00558659217877095,0.018633540372670804,1.0,718
0.023622047244094488,0.01675977653631285,0.02173913043478261,0.0,799
0.07086614173228346,0.0,0.018633540372670804,0.0,399
0.0,0.16201117318435757,0.18633540372670807,1.0,450
0.0,0.16201117318435757,0.04037267080745341,1.0,534
0.0,0.0,0.0031055900621118036,1.0,1999
0.0,0.0,0.015527950310559004,0.0,794
0.0,0.00558659217877095,0.018633540372670804,1.0,505
0.0,0.16201117318435757,0.18633540372670807,1.0,410
0.007874015748031496,0.0,0.0031055900621118036,1.0,475
0.0,0.16201117318435757,0.7049689440993788,1.0,381
0.0,0.16201117318435757,0.7049689440993788,1.0,362
0.007874015748031496,0.011173184357541898,0.13664596273291924,1.0,737
0.0,0.00558659217877095,1.0,1.0,468
0.0,0.49720670391061456,0.7049689440993788,1.0,377
0.03937007874015748,0.01675977653631285,0.012422360248447204,1.0,399
0.0,0.16201117318435757,0.36024844720496896,1.0,499
0.0,0.00558659217877095,0.018633540372670804,0.0,913
0.0,0.16201117318435757,0.36024844720496896,1.0,369
0.031496062992125984,0.0,0.006211180124223604,0.0,359
0.007874015748031496,0.16201117318435757,0.0031055900621118036,1.0,583
0.0,0.0,0.02173913043478261,1.0,3512
1.0,0.0,0.0031055900621118036,1.0,425
0.0,0.16201117318435757,0.7049689440993788,1.0,358
0.0,0.16201117318435757,0.04037267080745341,1.0,534
0.1653543307086614,0.0,0.0,0.0,390
0.0,0.0,0.018633540372670804,0.0,700
0.2440944881889764,0.0,0.0,1.0,374
0.0,0.16201117318435757,0.04037267080745341,1.0,534
0.07874015748031496,0.00558659217877095,1.0,1.0,376
0.03937007874015748,0.0,0.018633540372670804,1.0,4500
0.0,0.00558659217877095,1.0,1.0,398
